5120 5120
0 0 434.0
1 1 376.0
2 2 337.0
3 3 845.0
4 4 74.0
5 5 730.0
6 6 537.0
7 7 378.0
8 8 185.0
9 9 654.0
10 10 763.0
11 11 391.0
12 12 927.0
13 13 546.0
14 14 779.0
15 15 866.0
16 16 114.0
17 17 673.0
18 18 378.0
19 19 351.0
20 20 557.0
21 21 181.0
22 22 431.0
23 23 441.0
24 24 226.0
25 25 907.0
26 26 903.0
27 27 885.0
28 28 478.0
29 29 457.0
30 30 47.0
31 31 264.0
32 32 833.0
33 33 737.0
34 34 109.0
35 35 908.0
36 36 819.0
37 37 998.0
38 38 638.0
39 39 356.0
40 40 652.0
41 41 401.0
42 42 747.0
43 43 931.0
44 44 947.0
45 45 526.0
46 46 150.0
47 47 414.0
48 48 552.0
49 49 528.0
50 50 117.0
51 51 109.0
52 52 62.0
53 53 900.0
54 54 902.0
55 55 288.0
56 56 807.0
57 57 806.0
58 58 525.0
59 59 637.0
60 60 263.0
61 61 924.0
62 62 901.0
63 63 448.0
64 64 661.0
65 65 363.0
66 66 708.0
67 67 833.0
68 68 361.0
69 69 698.0
70 70 189.0
71 71 366.0
72 72 100.0
73 73 937.0
74 74 297.0
75 75 399.0
76 76 815.0
77 77 799.0
78 78 165.0
79 79 367.0
80 80 680.0
81 81 282.0
82 82 477.0
83 83 742.0
84 84 183.0
85 85 731.0
86 86 382.0
87 87 342.0
88 88 537.0
89 89 259.0
90 90 980.0
91 91 152.0
92 92 183.0
93 93 881.0
94 94 953.0
95 95 197.0
96 96 596.0
97 97 661.0
98 98 30.0
99 99 958.0
100 100 360.0
101 101 219.0
102 102 324.0
103 103 812.0
104 104 508.0
105 105 973.0
106 106 211.0
107 107 324.0
108 108 773.0
109 109 377.0
110 110 43.0
111 111 453.0
112 112 11.0
113 113 872.0
114 114 547.0
115 115 546.0
116 116 604.0
117 117 281.0
118 118 889.0
119 119 141.0
120 120 540.0
121 121 869.0
122 122 646.0
123 123 75.0
124 124 102.0
125 125 599.0
126 126 272.0
127 127 699.0
128 128 612.0
129 129 302.0
130 130 9.0
131 131 972.0
132 132 874.0
133 133 685.0
134 134 784.0
135 135 734.0
136 136 10.0
137 137 348.0
138 138 410.0
139 139 135.0
140 140 77.0
141 141 454.0
142 142 940.0
143 143 88.0
144 144 326.0
145 145 487.0
146 146 635.0
147 147 930.0
148 148 120.0
149 149 876.0
150 150 424.0
151 151 660.0
152 152 745.0
153 153 70.0
154 154 736.0
155 155 199.0
156 156 669.0
157 157 360.0
158 158 250.0
159 159 281.0
160 160 15.0
161 161 259.0
162 162 606.0
163 163 889.0
164 164 296.0
165 165 742.0
166 166 975.0
167 167 307.0
168 168 442.0
169 169 386.0
170 170 442.0
171 171 519.0
172 172 192.0
173 173 383.0
174 174 960.0
175 175 518.0
176 176 222.0
177 177 947.0
178 178 801.0
179 179 343.0
180 180 823.0
181 181 225.0
182 182 355.0
183 183 920.0
184 184 295.0
185 185 443.0
186 186 119.0
187 187 316.0
188 188 804.0
189 189 722.0
190 190 949.0
191 191 819.0
192 192 981.0
193 193 907.0
194 194 60.0
195 195 630.0
196 196 650.0
197 197 35.0
198 198 937.0
199 199 92.0
200 200 773.0
201 201 731.0
202 202 964.0
203 203 965.0
204 204 466.0
205 205 924.0
206 206 484.0
207 207 689.0
208 208 223.0
209 209 285.0
210 210 384.0
211 211 398.0
212 212 510.0
213 213 91.0
214 214 318.0
215 215 157.0
216 216 535.0
217 217 789.0
218 218 825.0
219 219 339.0
220 220 511.0
221 221 774.0
222 222 158.0
223 223 845.0
224 224 682.0
225 225 218.0
226 226 475.0
227 227 684.0
228 228 605.0
229 229 412.0
230 230 128.0
231 231 379.0
232 232 495.0
233 233 92.0
234 234 344.0
235 235 962.0
236 236 368.0
237 237 180.0
238 238 651.0
239 239 591.0
240 240 817.0
241 241 387.0
242 242 341.0
243 243 679.0
244 244 478.0
245 245 659.0
246 246 836.0
247 247 13.0
248 248 801.0
249 249 13.0
250 250 704.0
251 251 312.0
252 252 140.0
253 253 862.0
254 254 509.0
255 255 174.0
256 256 432.0
257 257 984.0
258 258 858.0
259 259 38.0
260 260 748.0
261 261 986.0
262 262 769.0
263 263 244.0
264 264 431.0
265 265 465.0
266 266 206.0
267 267 151.0
268 268 646.0
269 269 209.0
270 270 743.0
271 271 463.0
272 272 948.0
273 273 436.0
274 274 143.0
275 275 426.0
276 276 96.0
277 277 331.0
278 278 792.0
279 279 249.0
280 280 345.0
281 281 496.0
282 282 913.0
283 283 837.0
284 284 711.0
285 285 423.0
286 286 11.0
287 287 495.0
288 288 759.0
289 289 869.0
290 290 885.0
291 291 508.0
292 292 207.0
293 293 654.0
294 294 104.0
295 295 990.0
296 296 120.0
297 297 662.0
298 298 142.0
299 299 118.0
300 300 223.0
301 301 237.0
302 302 933.0
303 303 171.0
304 304 673.0
305 305 76.0
306 306 949.0
307 307 769.0
308 308 760.0
309 309 93.0
310 310 18.0
311 311 457.0
312 312 942.0
313 313 932.0
314 314 294.0
315 315 5.0
316 316 707.0
317 317 305.0
318 318 500.0
319 319 466.0
320 320 526.0
321 321 386.0
322 322 326.0
323 323 733.0
324 324 392.0
325 325 782.0
326 326 76.0
327 327 864.0
328 328 444.0
329 329 218.0
330 330 982.0
331 331 667.0
332 332 455.0
333 333 916.0
334 334 190.0
335 335 128.0
336 336 344.0
337 337 140.0
338 338 898.0
339 339 456.0
340 340 585.0
341 341 268.0
342 342 913.0
343 343 527.0
344 344 552.0
345 345 207.0
346 346 532.0
347 347 259.0
348 348 864.0
349 349 385.0
350 350 78.0
351 351 390.0
352 352 771.0
353 353 404.0
354 354 476.0
355 355 515.0
356 356 187.0
357 357 552.0
358 358 380.0
359 359 983.0
360 360 770.0
361 361 362.0
362 362 3.0
363 363 577.0
364 364 630.0
365 365 193.0
366 366 705.0
367 367 327.0
368 368 685.0
369 369 955.0
370 370 783.0
371 371 271.0
372 372 576.0
373 373 697.0
374 374 150.0
375 375 128.0
376 376 256.0
377 377 683.0
378 378 740.0
379 379 473.0
380 380 68.0
381 381 818.0
382 382 215.0
383 383 191.0
384 384 574.0
385 385 691.0
386 386 706.0
387 387 113.0
388 388 595.0
389 389 438.0
390 390 97.0
391 391 717.0
392 392 153.0
393 393 452.0
394 394 294.0
395 395 783.0
396 396 645.0
397 397 352.0
398 398 110.0
399 399 683.0
400 400 307.0
401 401 894.0
402 402 306.0
403 403 883.0
404 404 943.0
405 405 456.0
406 406 364.0
407 407 551.0
408 408 491.0
409 409 456.0
410 410 24.0
411 411 911.0
412 412 626.0
413 413 240.0
414 414 102.0
415 415 200.0
416 416 283.0
417 417 161.0
418 418 666.0
419 419 879.0
420 420 599.0
421 421 763.0
422 422 948.0
423 423 752.0
424 424 567.0
425 425 595.0
426 426 888.0
427 427 212.0
428 428 947.0
429 429 998.0
430 430 247.0
431 431 606.0
432 432 244.0
433 433 553.0
434 434 490.0
435 435 539.0
436 436 362.0
437 437 206.0
438 438 91.0
439 439 853.0
440 440 662.0
441 441 115.0
442 442 765.0
443 443 288.0
444 444 355.0
445 445 219.0
446 446 840.0
447 447 639.0
448 448 732.0
449 449 506.0
450 450 870.0
451 451 332.0
452 452 621.0
453 453 170.0
454 454 436.0
455 455 188.0
456 456 117.0
457 457 324.0
458 458 753.0
459 459 64.0
460 460 675.0
461 461 0.0
462 462 23.0
463 463 271.0
464 464 906.0
465 465 865.0
466 466 811.0
467 467 268.0
468 468 71.0
469 469 254.0
470 470 473.0
471 471 733.0
472 472 369.0
473 473 590.0
474 474 373.0
475 475 77.0
476 476 810.0
477 477 213.0
478 478 68.0
479 479 894.0
480 480 72.0
481 481 290.0
